metric,value,notes
study_period_start,2019/01/01,
study_period_end,2026/07/15,
tmks,"239004082,239004143,239004144",
total_units,316,
total_transfers,217,ownership transfers in study period
arms_length_sales,139,"fee conveyances above $10,000"
median_sale_price,790000,all study-period priced sales
mean_sale_price,867830,
portfolio_hi_pct,15.0316,current ownership proxy
portfolio_non_hi_pct,84.6519,current ownership proxy
portfolio_unknown_pct,0.3165,
transfer_hi_pct,16.5899,dominant residency among transfers
transfer_non_hi_pct,82.4885,
disclaimer,"This event study presents observed market patterns around Maui County Bill 9 milestones. Residency uses current fullownr mailing addresses as a proxy for owners — not historical buyer residency at each sale. Price metrics use arm's-length fee conveyances above $10,000. Correlation does not establish causation; external factors include mortgage rates, insurance costs, wildfire recovery, tourism demand, and broader Maui housing conditions.",
counterfactual_month,2026-07,latest month with counterfactual comparison
counterfactual_expected_median,1722353,log-linear forecast median (primary)
counterfactual_observed_median,800000,observed 3-month rolling median
counterfactual_gap_dollars,-922353,observed minus expected per unit
counterfactual_gap_pct,-53.5519,gap as percent of expected
counterfactual_portfolio_impact,-291463624,gap × total units
counterfactual_model,log_linear,primary counterfactual model
counterfactual_linear_expected_median,1521752,linear trend forecast at same month
counterfactual_cagr_pre_announcement,16.0184,implied annual CAGR from log-linear pre-period fit
counterfactual_announcement_month,2024-05,Bill 9 announcement month
